course_code,name,rating
PHYS UN1204,Jeremy R Dodd,3.1212
PHYS UN1204,Jeremy R Dodd,3.1212
PHYS UN1204,Jeremy R Dodd,3.1212
PHYS UN1204,Jeremy R Dodd,3.1212
PHIL UN3960,Jessica Collins,5.0
FREN UN3410,Joanna R Stalnaker,3.2222
HUMA UN1123,John H Mcwhorter,3.7879
POLS GR9902,John Huber,2.7857
POLS GU4730,John Huber,2.7857
HUMA UN1121,John M Beeson,4.0
POLS GU4722,John Marshall,4.0
ANTH UN3880,John Pemberton,3.75
ANTH UN3947,John Pemberton,3.75
PSYC GR9999,Jon B Freeman,4.25
SUMA PS5035,Jonathan C Dickinson,5.0
ENGL BC3998,Jonathan L Beller,4.0
SOCI BC3916,Jonathan Rieder,3.5087999999999995
CHEM UN1501,Joseph C Ulichny,3.8
CHEM UN1500,Joseph C Ulichny,3.8
CHEM UN1500,Joseph C Ulichny,3.8
ENGL GS1010,Joseph W Bubar,4.0
BIOL UN2501,Joshua M Abrams,2.0
PSYC UN2636,Joshua M Feinberg,3.0
AHIS BC3032,Jozefina Chetko,5.0
ENGL GR6300,Julie S Peters,3.4
HUMA UN1123,Justin T Gregg,4.25
CHNS UN2202,Kaidi Chen,3.6667
DNCE BC1138,Kate A Glasner,3.3529
HUMA CC1002,Katrina M Dzyak,4.7
PSYC BC3179,Ken Light,2.2222333333333335
PSYC BC1010,Ken Light,2.2222333333333335
PHYS UN1604,Kerstin M Perez,4.3333
PHYS UN1604,Kerstin M Perez,4.3333
PHYS UN1604,Kerstin M Perez,4.3333
PSYC UN1451,Kevin Ochsner,2.6429
ENGL GS1010,Kirkwood F Adams,2.5294
ECON BC3062,Kurt Semm,3.25
HUMA CC1002,Laura F Dinardo,4.0
TPIN IA7014,Laura S Scherling,1.0
ENGL UN3343,Lauren E Robertson,4.6
FREN UN2101,Laurence Marie,4.5
ENGL BC3134,Liana Finck,3.5
PSYC UN3930,Lila Davachi,4.0
SUMA PS5033,Lucius J Riccio,3.0
PHIL GR9806,Lydia Goehr,3.3793
SOCI BC3202,Maati Momplaisir,4.0
DNCE BC2252,Maguette Camara,4.1111
DNCE BC2253,Maguette Camara,4.1111
AMST GU4210,Manu Karuka,3.0
ENRE BC3810,Margaret R Ellsberg,3.0189
ENGL BC3104,Margaret R Ellsberg,3.0189
ENGL BC3609,Maria D Hinojosa,3.0
SUMA PS5200,Maria L Gray,2.25
ENME E4117,Marianna Maiaru,2.0
ANTH UN3939,Marilyn Ivy,3.5
EEEB UN1111,Marina Cords,2.9474
WMST BC2150,Marisa Solomon,4.0
DNCE BC3593,Marjorie Folkman,4.3333
ECON UN3213,Martin Uribe,2.9412
ECON UN3213,Martin Uribe,2.9412
ECON BC3063,Martina Jasova,4.7
HIST GU4747,Marwa Elshakry,3.6667
ASTR UN1904,Mary Putman,3.75
RELI GR6052,Matthew Engelke,3.0
EEEB UN2002,Matthew I Palmer,4.3333
EEEB GU4135,Matthew I Palmer,4.3333
AHUM UN1399,Matthew L Keegan,2.8
ENGL CC1010,Matthew L Rossi,2.0
HIST BC2477,Matthew Vaz,3.5
HUMA CC1002,Maude F Meisel,4.2857
CHEM BC3328,Meenakshi S Rao,2.1923
CHEM BC3328,Meenakshi S Rao,2.1923
RELI UN3323,Meghan E Hartman,3.0
RELI BC3998,Meghan E Hartman,3.0
FREN BC1204,Melanie Heydari,4.625
ENGL BC3102,Meredith A Benjamin,4.666666666666667
